Alpha , Gamma , Eps , SuccessRate
0.1 , 0.3 , 0.10 , 0.957
0.2 , 0.6 , 0.10 , 0.957
0.6 , 0.7 , 0.20 , 0.7804
0.9 , 0.7 , 0.05 , 0.7542
0.6 , 0.7 , 0.01 , 0.9678
0.8 , 0.1 , 0.10 , 0.8556
0.7 , 0.8 , 0.01 , 0.9654
0.8 , 0.7 , 0.01 , 0.944
0.5 , 0.3 , 0.05 , 0.9208
0.3 , 0.8 , 0.01 , 0.9792
0.9 , 0.5 , 0.10 , 0.725
0.7 , 0.3 , 0.20 , 0.788
0.4 , 0.7 , 0.20 , 0.8584
0.9 , 0.8 , 0.01 , 0.934
0.1 , 0.3 , 0.05 , 0.9684
0.4 , 0.2 , 0.20 , 0.812
0.2 , 0.3 , 0.01 , 0.9838
0.1 , 0.5 , 0.10 , 0.9612
0.1 , 0.9 , 0.05 , 0.9682
0.1 , 0.9 , 0.10 , 0.9548
0.9 , 0.6 , 0.10 , 0.6758
0.7 , 0.9 , 0.20 , 0.7368
0.4 , 0.4 , 0.01 , 0.9716
0.5 , 0.1 , 0.20 , 0.8036
0.3 , 0.6 , 0.20 , 0.8758
0.5 , 0.7 , 0.01 , 0.9768
0.1 , 0.6 , 0.10 , 0.9536
0.9 , 0.4 , 0.05 , 0.8498
0.8 , 0.6 , 0.20 , 0.6964
0.5 , 0.7 , 0.20 , 0.8242
0.4 , 0.2 , 0.10 , 0.8878
0.2 , 0.2 , 0.05 , 0.9696
0.9 , 0.8 , 0.05 , 0.7738
0.4 , 0.6 , 0.10 , 0.9228
0.8 , 0.3 , 0.10 , 0.8658
0.4 , 0.7 , 0.10 , 0.9366
0.7 , 0.1 , 0.20 , 0.7936
0.9 , 0.2 , 0.10 , 0.8436
0.4 , 0.8 , 0.10 , 0.9326
0.7 , 0.8 , 0.20 , 0.7344
0.8 , 0.4 , 0.20 , 0.7556
0.7 , 0.2 , 0.01 , 0.9342
0.3 , 0.5 , 0.05 , 0.9584
0.2 , 0.9 , 0.10 , 0.9508
